respondent_id,feature,functional,dysfunctional
K064,Download / share my records (ABHA),Like,Dislike
K064,Trust status panel,Neutral,Live with
K064,Data deletion request,Like,Dislike
K065,Multilingual consent wizard,Expect,Dislike
K065,Doctor identity card,Live with,Dislike
K065,Plain-language access log,Like,Live with
K065,Per-partner consent toggles,Like,Live with
K065,Care Moments (WhatsApp/SMS),Like,Dislike
K065,Grievance with case ID,Expect,Dislike
K065,Audio narration at kiosk,Like,Live with
K065,Download / share my records (ABHA),Like,Dislike
K065,Trust status panel,Expect,Neutral
K065,Data deletion request,Like,Neutral
K066,Multilingual consent wizard,Neutral,Dislike
K066,Doctor identity card,Like,Dislike
K066,Plain-language access log,Like,Neutral
K066,Per-partner consent toggles,Like,Dislike
K066,Care Moments (WhatsApp/SMS),Like,Dislike
K066,Grievance with case ID,Like,Dislike
K066,Audio narration at kiosk,Neutral,Live with
K066,Download / share my records (ABHA),Like,Dislike
K066,Trust status panel,Neutral,Live with
K066,Data deletion request,Like,Neutral
K067,Multilingual consent wizard,Expect,Dislike
K067,Doctor identity card,Expect,Dislike
K067,Plain-language access log,Neutral,Neutral
K067,Per-partner consent toggles,Like,Dislike
K067,Care Moments (WhatsApp/SMS),Like,Dislike
K067,Grievance with case ID,Expect,Neutral
K067,Audio narration at kiosk,Like,Expect
K067,Download / share my records (ABHA),Like,Dislike
K067,Trust status panel,Neutral,Dislike
K067,Data deletion request,Neutral,Neutral
K068,Multilingual consent wizard,Expect,Live with
K068,Doctor identity card,Like,Dislike
K068,Plain-language access log,Like,Neutral
K068,Per-partner consent toggles,Like,Neutral
K068,Care Moments (WhatsApp/SMS),Like,Like
K068,Grievance with case ID,Expect,Live with
K068,Audio narration at kiosk,Live with,Live with
K068,Download / share my records (ABHA),Like,Neutral
K068,Trust status panel,Expect,Neutral
K068,Data deletion request,Live with,Neutral
K069,Multilingual consent wizard,Expect,Dislike
K069,Doctor identity card,Like,Dislike
K069,Plain-language access log,Like,Neutral
K069,Per-partner consent toggles,Expect,Dislike
K069,Care Moments (WhatsApp/SMS),Like,Dislike
K069,Grievance with case ID,Expect,Dislike
K069,Audio narration at kiosk,Neutral,Dislike
K069,Download / share my records (ABHA),Like,Dislike
K069,Trust status panel,Neutral,Neutral
K069,Data deletion request,Like,Live with
K070,Multilingual consent wizard,Expect,Dislike
K070,Doctor identity card,Dislike,Like
K070,Plain-language access log,Dislike,Neutral
K070,Per-partner consent toggles,Expect,Dislike
K070,Care Moments (WhatsApp/SMS),Like,Neutral
K070,Grievance with case ID,Expect,Expect
K070,Audio narration at kiosk,Like,Live with
K070,Download / share my records (ABHA),Like,Dislike
K070,Trust status panel,Live with,Neutral
K070,Data deletion request,Like,Neutral
K071,Multilingual consent wizard,Expect,Dislike
K071,Doctor identity card,Expect,Dislike
K071,Plain-language access log,Like,Neutral
K071,Per-partner consent toggles,Neutral,Neutral
K071,Care Moments (WhatsApp/SMS),Like,Live with
K071,Grievance with case ID,Neutral,Dislike
K071,Audio narration at kiosk,Like,Dislike
K071,Download / share my records (ABHA),Live with,Dislike
K071,Trust status panel,Like,Neutral
K071,Data deletion request,Like,Neutral
K072,Multilingual consent wizard,Expect,Dislike
K072,Doctor identity card,Dislike,Dislike
K072,Plain-language access log,Neutral,Neutral
K072,Per-partner consent toggles,Like,Dislike
K072,Care Moments (WhatsApp/SMS),Like,Dislike
K072,Grievance with case ID,Neutral,Dislike
K072,Audio narration at kiosk,Like,Live with
K072,Download / share my records (ABHA),Like,Dislike
K072,Trust status panel,Neutral,Neutral
K072,Data deletion request,Neutral,Neutral
K073,Multilingual consent wizard,Live with,Dislike
K073,Doctor identity card,Expect,Live with
K073,Plain-language access log,Like,Neutral
K073,Per-partner consent toggles,Live with,Neutral
K073,Care Moments (WhatsApp/SMS),Like,Live with
K073,Grievance with case ID,Expect,Dislike
K073,Audio narration at kiosk,Like,Live with
K073,Download / share my records (ABHA),Like,Dislike
K073,Trust status panel,Neutral,Neutral
K073,Data deletion request,Live with,Neutral
K074,Multilingual consent wizard,Expect,Dislike
K074,Doctor identity card,Like,Dislike
K074,Plain-language access log,Like,Neutral
K074,Per-partner consent toggles,Like,Neutral
K074,Care Moments (WhatsApp/SMS),Like,Dislike
K074,Grievance with case ID,Expect,Dislike
K074,Audio narration at kiosk,Like,Live with
K074,Download / share my records (ABHA),Expect,Dislike
K074,Trust status panel,Neutral,Neutral
K074,Data deletion request,Neutral,Neutral
K075,Multilingual consent wizard,Expect,Dislike
K075,Doctor identity card,Live with,Dislike
K075,Plain-language access log,Like,Dislike
K075,Per-partner consent toggles,Like,Dislike
K075,Care Moments (WhatsApp/SMS),Like,Dislike
K075,Grievance with case ID,Like,Dislike
K075,Audio narration at kiosk,Like,Dislike
K075,Download / share my records (ABHA),Expect,Neutral
K075,Trust status panel,Like,Expect
K075,Data deletion request,Neutral,Live with
K076,Multilingual consent wizard,Expect,Live with
K076,Doctor identity card,Like,Dislike
K076,Plain-language access log,Like,Expect
K076,Per-partner consent toggles,Like,Dislike
K076,Care Moments (WhatsApp/SMS),Like,Dislike
K076,Grievance with case ID,Live with,Dislike
K076,Audio narration at kiosk,Like,Neutral
K076,Download / share my records (ABHA),Expect,Dislike
K076,Trust status panel,Neutral,Neutral
K076,Data deletion request,Like,Like
K077,Multilingual consent wizard,Neutral,Dislike
K077,Doctor identity card,Neutral,Live with
K077,Plain-language access log,Like,Neutral
K077,Per-partner consent toggles,Like,Live with
K077,Care Moments (WhatsApp/SMS),Like,Live with
K077,Grievance with case ID,Expect,Dislike
K077,Audio narration at kiosk,Neutral,Neutral
K077,Download / share my records (ABHA),Like,Dislike
K077,Trust status panel,Like,Neutral
K077,Data deletion request,Neutral,Neutral
K078,Multilingual consent wizard,Expect,Dislike
K078,Doctor identity card,Like,Dislike
K078,Plain-language access log,Neutral,Live with
K078,Per-partner consent toggles,Like,Dislike
K078,Care Moments (WhatsApp/SMS),Like,Dislike
K078,Grievance with case ID,Like,Neutral
K078,Audio narration at kiosk,Dislike,Neutral
K078,Download / share my records (ABHA),Like,Dislike
K078,Trust status panel,Live with,Live with
K078,Data deletion request,Like,Dislike
K079,Multilingual consent wizard,Expect,Dislike
K079,Doctor identity card,Like,Dislike
K079,Plain-language access log,Neutral,Live with
K079,Per-partner consent toggles,Like,Dislike
K079,Care Moments (WhatsApp/SMS),Like,Dislike
K079,Grievance with case ID,Expect,Dislike
K079,Audio narration at kiosk,Neutral,Live with
K079,Download / share my records (ABHA),Like,Neutral
K079,Trust status panel,Like,Live with
K079,Data deletion request,Expect,Live with
K080,Multilingual consent wizard,Expect,Dislike
K080,Doctor identity card,Like,Dislike
K080,Plain-language access log,Like,Neutral
K080,Per-partner consent toggles,Neutral,Dislike
K080,Care Moments (WhatsApp/SMS),Like,Dislike
K080,Grievance with case ID,Like,Neutral
K080,Audio narration at kiosk,Neutral,Neutral
K080,Download / share my records (ABHA),Like,Live with
K080,Trust status panel,Live with,Neutral
K080,Data deletion request,Like,Live with
K081,Multilingual consent wizard,Expect,Live with
K081,Doctor identity card,Like,Dislike
K081,Plain-language access log,Live with,Neutral
K081,Per-partner consent toggles,Like,Dislike
K081,Care Moments (WhatsApp/SMS),Like,Dislike
K081,Grievance with case ID,Expect,Dislike
K081,Audio narration at kiosk,Like,Live with
K081,Download / share my records (ABHA),Like,Dislike
K081,Trust status panel,Like,Dislike
K081,Data deletion request,Like,Live with
K082,Multilingual consent wizard,Expect,Dislike
K082,Doctor identity card,Like,Dislike
K082,Plain-language access log,Neutral,Expect
K082,Per-partner consent toggles,Like,Dislike
K082,Care Moments (WhatsApp/SMS),Like,Expect
K082,Grievance with case ID,Expect,Dislike
K082,Audio narration at kiosk,Neutral,Neutral
K082,Download / share my records (ABHA),Like,Dislike
K082,Trust status panel,Neutral,Neutral
K082,Data deletion request,Like,Live with
K083,Multilingual consent wizard,Expect,Live with
K083,Doctor identity card,Neutral,Dislike
K083,Plain-language access log,Like,Neutral
K083,Per-partner consent toggles,Like,Dislike
K083,Care Moments (WhatsApp/SMS),Like,Dislike
K083,Grievance with case ID,Like,Dislike
K083,Audio narration at kiosk,Neutral,Dislike
K083,Download / share my records (ABHA),Expect,Dislike
K083,Trust status panel,Expect,Expect
K083,Data deletion request,Like,Neutral
K084,Multilingual consent wizard,Expect,Neutral
K084,Doctor identity card,Like,Dislike
K084,Plain-language access log,Like,Neutral
K084,Per-partner consent toggles,Like,Dislike
K084,Care Moments (WhatsApp/SMS),Dislike,Dislike
K084,Grievance with case ID,Dislike,Dislike
K084,Audio narration at kiosk,Neutral,Neutral
K084,Download / share my records (ABHA),Like,Dislike
K084,Trust status panel,Like,Live with
K084,Data deletion request,Dislike,Neutral
K085,Multilingual consent wizard,Expect,Dislike
K085,Doctor identity card,Like,Neutral
K085,Plain-language access log,Like,Live with
K085,Per-partner consent toggles,Neutral,Dislike
K085,Care Moments (WhatsApp/SMS),Like,Dislike
K085,Grievance with case ID,Neutral,Live with
K085,Audio narration at kiosk,Like,Neutral
K085,Download / share my records (ABHA),Like,Dislike
K085,Trust status panel,Neutral,Neutral
K085,Data deletion request,Like,Neutral
K086,Multilingual consent wizard,Expect,Dislike
K086,Doctor identity card,Like,Dislike
K086,Plain-language access log,Expect,Neutral
K086,Per-partner consent toggles,Like,Neutral
K086,Care Moments (WhatsApp/SMS),Neutral,Dislike
K086,Grievance with case ID,Like,Live with
K086,Audio narration at kiosk,Like,Live with
K086,Download / share my records (ABHA),Like,Dislike
K086,Trust status panel,Expect,Live with
K086,Data deletion request,Neutral,Dislike
K087,Multilingual consent wizard,Expect,Dislike
K087,Doctor identity card,Like,Dislike
K087,Plain-language access log,Neutral,Neutral
K087,Per-partner consent toggles,Like,Like
K087,Care Moments (WhatsApp/SMS),Neutral,Expect
K087,Grievance with case ID,Expect,Dislike
K087,Audio narration at kiosk,Like,Neutral
K087,Download / share my records (ABHA),Like,Dislike
K087,Trust status panel,Live with,Neutral
K087,Data deletion request,Like,Neutral
K088,Multilingual consent wizard,Expect,Neutral
K088,Doctor identity card,Expect,Dislike
K088,Plain-language access log,Like,Neutral
K088,Per-partner consent toggles,Like,Live with
K088,Care Moments (WhatsApp/SMS),Like,Dislike
K088,Grievance with case ID,Expect,Dislike
K088,Audio narration at kiosk,Neutral,Neutral
K088,Download / share my records (ABHA),Like,Dislike
K088,Trust status panel,Like,Live with
K088,Data deletion request,Neutral,Live with
K089,Multilingual consent wizard,Expect,Dislike
K089,Doctor identity card,Like,Live with
K089,Plain-language access log,Like,Like
K089,Per-partner consent toggles,Like,Live with
K089,Care Moments (WhatsApp/SMS),Like,Like
K089,Grievance with case ID,Like,Dislike
K089,Audio narration at kiosk,Neutral,Neutral
K089,Download / share my records (ABHA),Like,Live with
K089,Trust status panel,Expect,Like
K089,Data deletion request,Like,Neutral
K090,Multilingual consent wizard,Like,Dislike
K090,Doctor identity card,Expect,Dislike
K090,Plain-language access log,Neutral,Neutral
K090,Per-partner consent toggles,Like,Dislike
K090,Care Moments (WhatsApp/SMS),Like,Neutral
K090,Grievance with case ID,Like,Dislike
K090,Audio narration at kiosk,Neutral,Live with
K090,Download / share my records (ABHA),Dislike,Dislike
K090,Trust status panel,Live with,Live with
K090,Data deletion request,Live with,Dislike
K091,Multilingual consent wizard,Expect,Live with
K091,Doctor identity card,Like,Dislike
K091,Plain-language access log,Like,Live with
K091,Per-partner consent toggles,Neutral,Live with
K091,Care Moments (WhatsApp/SMS),Like,Dislike
K091,Grievance with case ID,Like,Like
K091,Audio narration at kiosk,Like,Neutral
K091,Download / share my records (ABHA),Expect,Dislike
K091,Trust status panel,Expect,Neutral
K091,Data deletion request,Like,Live with
K092,Multilingual consent wizard,Expect,Dislike
K092,Doctor identity card,Like,Dislike
K092,Plain-language access log,Like,Neutral
K092,Per-partner consent toggles,Neutral,Neutral
K092,Care Moments (WhatsApp/SMS),Neutral,Dislike
K092,Grievance with case ID,Expect,Like
K092,Audio narration at kiosk,Like,Neutral
K092,Download / share my records (ABHA),Neutral,Dislike
K092,Trust status panel,Neutral,Like
K092,Data deletion request,Like,Live with
K093,Multilingual consent wizard,Expect,Dislike
K093,Doctor identity card,Expect,Dislike
K093,Plain-language access log,Like,Neutral
K093,Per-partner consent toggles,Like,Dislike
K093,Care Moments (WhatsApp/SMS),Neutral,Neutral
K093,Grievance with case ID,Like,Dislike
K093,Audio narration at kiosk,Like,Neutral
K093,Download / share my records (ABHA),Like,Expect
K093,Trust status panel,Like,Live with
K093,Data deletion request,Like,Neutral
K094,Multilingual consent wizard,Neutral,Dislike
K094,Doctor identity card,Like,Expect
K094,Plain-language access log,Like,Expect
K094,Per-partner consent toggles,Like,Live with
K094,Care Moments (WhatsApp/SMS),Like,Expect
K094,Grievance with case ID,Expect,Dislike
K094,Audio narration at kiosk,Like,Live with
K094,Download / share my records (ABHA),Expect,Dislike
K094,Trust status panel,Dislike,Live with
K094,Data deletion request,Like,Neutral
K095,Multilingual consent wizard,Expect,Dislike
K095,Doctor identity card,Expect,Live with
K095,Plain-language access log,Expect,Dislike
K095,Per-partner consent toggles,Like,Dislike
K095,Care Moments (WhatsApp/SMS),Like,Dislike
K095,Grievance with case ID,Live with,Neutral
K095,Audio narration at kiosk,Like,Live with
K095,Download / share my records (ABHA),Neutral,Dislike
K095,Trust status panel,Expect,Neutral
K095,Data deletion request,Like,Live with
K096,Multilingual consent wizard,Live with,Dislike
K096,Doctor identity card,Like,Dislike
K096,Plain-language access log,Neutral,Live with
K096,Per-partner consent toggles,Like,Dislike
K096,Care Moments (WhatsApp/SMS),Expect,Dislike
K096,Grievance with case ID,Expect,Dislike
K096,Audio narration at kiosk,Like,Neutral
K096,Download / share my records (ABHA),Like,Dislike
K096,Trust status panel,Neutral,Neutral
K096,Data deletion request,Like,Neutral
K097,Multilingual consent wizard,Expect,Dislike
K097,Doctor identity card,Like,Dislike
K097,Plain-language access log,Like,Live with
K097,Per-partner consent toggles,Like,Neutral
K097,Care Moments (WhatsApp/SMS),Like,Neutral
K097,Grievance with case ID,Expect,Expect
K097,Audio narration at kiosk,Like,Neutral
K097,Download / share my records (ABHA),Like,Neutral
K097,Trust status panel,Neutral,Live with
K097,Data deletion request,Like,Live with
K098,Multilingual consent wizard,Expect,Dislike
K098,Doctor identity card,Like,Live with
K098,Plain-language access log,Like,Neutral
K098,Per-partner consent toggles,Like,Dislike
K098,Care Moments (WhatsApp/SMS),Like,Dislike
K098,Grievance with case ID,Expect,Dislike
K098,Audio narration at kiosk,Neutral,Live with
K098,Download / share my records (ABHA),Live with,Neutral
K098,Trust status panel,Neutral,Like
K098,Data deletion request,Like,Live with
K099,Multilingual consent wizard,Neutral,Live with
K099,Doctor identity card,Like,Neutral
K099,Plain-language access log,Like,Neutral
K099,Per-partner consent toggles,Dislike,Dislike
K099,Care Moments (WhatsApp/SMS),Expect,Neutral
K099,Grievance with case ID,Expect,Dislike
K099,Audio narration at kiosk,Like,Neutral
K099,Download / share my records (ABHA),Like,Dislike
K099,Trust status panel,Neutral,Neutral
K099,Data deletion request,Neutral,Expect
K100,Multilingual consent wizard,Expect,Dislike
K100,Doctor identity card,Like,Neutral
K100,Plain-language access log,Neutral,Neutral
K100,Per-partner consent toggles,Like,Dislike
K100,Care Moments (WhatsApp/SMS),Like,Neutral
K100,Grievance with case ID,Expect,Dislike
K100,Audio narration at kiosk,Like,Neutral
K100,Download / share my records (ABHA),Expect,Live with
K100,Trust status panel,Like,Like
K100,Data deletion request,Dislike,Expect
K101,Multilingual consent wizard,Expect,Dislike
K101,Doctor identity card,Like,Neutral
K101,Plain-language access log,Neutral,Dislike
K101,Per-partner consent toggles,Dislike,Dislike
K101,Care Moments (WhatsApp/SMS),Like,Dislike
K101,Grievance with case ID,Neutral,Live with
K101,Audio narration at kiosk,Expect,Live with
K101,Download / share my records (ABHA),Like,Dislike
K101,Trust status panel,Neutral,Neutral
K101,Data deletion request,Neutral,Neutral
K102,Multilingual consent wizard,Expect,Dislike
K102,Doctor identity card,Like,Dislike
K102,Plain-language access log,Neutral,Live with
K102,Per-partner consent toggles,Like,Dislike
K102,Care Moments (WhatsApp/SMS),Like,Dislike
K102,Grievance with case ID,Like,Dislike
K102,Audio narration at kiosk,Neutral,Dislike
K102,Download / share my records (ABHA),Like,Like
K102,Trust status panel,Live with,Neutral
K102,Data deletion request,Like,Neutral
K103,Multilingual consent wizard,Expect,Dislike
K103,Doctor identity card,Like,Dislike
K103,Plain-language access log,Live with,Neutral
K103,Per-partner consent toggles,Like,Dislike
K103,Care Moments (WhatsApp/SMS),Like,Expect
K103,Grievance with case ID,Expect,Live with
K103,Audio narration at kiosk,Neutral,Live with
K103,Download / share my records (ABHA),Neutral,Dislike
K103,Trust status panel,Live with,Live with
K103,Data deletion request,Like,Neutral
K104,Multilingual consent wizard,Expect,Dislike
K104,Doctor identity card,Neutral,Dislike
K104,Plain-language access log,Neutral,Neutral
K104,Per-partner consent toggles,Like,Dislike
K104,Care Moments (WhatsApp/SMS),Like,Neutral
K104,Grievance with case ID,Expect,Dislike
K104,Audio narration at kiosk,Neutral,Live with
K104,Download / share my records (ABHA),Like,Live with
K104,Trust status panel,Neutral,Dislike
K104,Data deletion request,Like,Neutral
K105,Multilingual consent wizard,Neutral,Dislike
K105,Doctor identity card,Like,Dislike
K105,Plain-language access log,Neutral,Live with
K105,Per-partner consent toggles,Like,Neutral
K105,Care Moments (WhatsApp/SMS),Expect,Dislike
K105,Grievance with case ID,Expect,Expect
K105,Audio narration at kiosk,Like,Neutral
K105,Download / share my records (ABHA),Like,Dislike
K105,Trust status panel,Neutral,Neutral
K105,Data deletion request,Neutral,Neutral
K106,Multilingual consent wizard,Expect,Dislike
K106,Doctor identity card,Neutral,Expect
K106,Plain-language access log,Neutral,Neutral
K106,Per-partner consent toggles,Like,Dislike
K106,Care Moments (WhatsApp/SMS),Like,Dislike
K106,Grievance with case ID,Expect,Dislike
K106,Audio narration at kiosk,Neutral,Neutral
K106,Download / share my records (ABHA),Like,Dislike
K106,Trust status panel,Live with,Neutral
K106,Data deletion request,Neutral,Live with
K107,Multilingual consent wizard,Expect,Live with
K107,Doctor identity card,Like,Live with
K107,Plain-language access log,Neutral,Neutral
K107,Per-partner consent toggles,Expect,Dislike
K107,Care Moments (WhatsApp/SMS),Expect,Dislike
K107,Grievance with case ID,Expect,Dislike
K107,Audio narration at kiosk,Like,Neutral
K107,Download / share my records (ABHA),Like,Live with
K107,Trust status panel,Neutral,Neutral
K107,Data deletion request,Neutral,Neutral
K108,Multilingual consent wizard,Expect,Dislike
K108,Doctor identity card,Like,Dislike
K108,Plain-language access log,Like,Neutral
K108,Per-partner consent toggles,Dislike,Dislike
K108,Care Moments (WhatsApp/SMS),Like,Neutral
K108,Grievance with case ID,Like,Live with
K108,Audio narration at kiosk,Like,Neutral
K108,Download / share my records (ABHA),Like,Dislike
K108,Trust status panel,Neutral,Neutral
K108,Data deletion request,Like,Neutral
K109,Multilingual consent wizard,Neutral,Dislike
K109,Doctor identity card,Like,Dislike
K109,Plain-language access log,Like,Neutral
K109,Per-partner consent toggles,Like,Dislike
K109,Care Moments (WhatsApp/SMS),Expect,Live with
K109,Grievance with case ID,Expect,Neutral
K109,Audio narration at kiosk,Like,Neutral
K109,Download / share my records (ABHA),Expect,Expect
K109,Trust status panel,Live with,Neutral
K109,Data deletion request,Like,Live with
