Timestamp,I have read the participant information and agree to take part in this survey.,Please provide the age range you belong to:,Where do you live?,Which language do you prefer for health information?,Which of the following digital healthcare services have you used in the past year?,How often do you use digital healthcare services?,Which platform do you use most often?,Overall Trust in Digital Healthcare Services [I trust digital and telehealth services for managing my healthcare needs.],Overall Trust in Digital Healthcare Services [I feel confident relying on digital healthcare services when medical help is needed.],Overall Trust in Digital Healthcare Services [I believe that digital healthcare providers generally act in my best interest regarding my health.],Trust-Building Factors: Data Privacy and Security [I believe my personal health information is kept private on digital healthcare platforms.],Trust-Building Factors: Data Privacy and Security [I feel my health data is protected from misuse or cyberattacks.],Trust-Building Factors: Data Privacy and Security [I am confident that the platform uses advanced encryption (secure technology) to store my medical records.],Trust-Building Factors: Data Transparency [Digital healthcare platforms clearly explain how my health data is used.],"Trust-Building Factors: Data Transparency [I can see which parties (doctor, lab, pharmacy) my health data is shared with.]",Trust-Building Factors: Data Transparency [I can see who has accessed my health records and when.],Trust-Building Factors: Consent and Control [I am asked for clear permission before my health data is collected or shared.],Trust-Building Factors: Consent and Control [I feel confident that I can withdraw my consent or delete my data from the platform whenever I choose.],"Trust-Building Factors: Consent and Control [I can choose which partners (lab, pharmacy, insurer) are allowed to see my data.]",Trust-Building Factors: Governance and Accountability [It is clear who is responsible if my health data is misused.],Trust-Building Factors: Governance and Accountability [There is an easy way to raise a complaint about my data or my care.],Trust-Building Factors: Governance and Accountability [Complaints I raise are tracked and resolved within a reasonable time.],Trust-Building Factors: Communication [The platform explains things in simple language that I understand.],"Trust-Building Factors: Communication [I receive timely updates at each step of my care (e.g., report ready, medicine dispatched).]",Trust-Building Factors: Communication [Messages from the platform feel respectful and caring.],Trust-Building Factors: Credibility and Social Proof [I trust digital healthcare services that are associated with certified doctors or hospitals.],Trust-Building Factors: Credibility and Social Proof [Seeing doctor qualifications on digital platforms increases my trust.],Trust-Building Factors: Credibility and Social Proof [Positive reviews and ratings from other patients significantly increase my trust in a digital doctor.],Trust-Building Factors: Credibility and Social Proof [Well-known digital healthcare platforms appear more trustworthy to me.],Trust-Building Factors: Credibility and Social Proof [I am more likely to trust a digital healthcare platform if it is recommended by friends or family.],Trust-Building Factors: Service Reliability [Digital healthcare platforms provide reliable medical advice.],Trust-Building Factors: Service Reliability [Online consultations through digital healthcare are generally accurate.],"Trust-Building Factors: Service Reliability [I trust that the platform will function smoothly without technical glitches (e.g., video freezing) during consultations.]",Trust Barriers / Concerns [I worry that my health data may be shared without my permission.],Trust Barriers / Concerns [I worry that my health data might be sold to third-party companies (like insurance or pharmaceutical firms) without my knowledge.],Trust Barriers / Concerns [I am concerned about incorrect diagnosis through online consultations.],Trust Barriers / Concerns [The lack of physical examination reduces my trust in digital healthcare services.],Trust Barriers / Concerns [I am concerned that important physical symptoms might be missed because the doctor cannot see me clearly through a screen.],Trust Barriers / Concerns [I fear online fraud while making payments on digital healthcare platforms.],Trust Barriers / Concerns [Hidden charges reduce my trust in digital healthcare services.],Trust Barriers / Concerns [Using digital healthcare platforms feels complicated for me.],"Trust Barriers / Concerns [I find the registration or login process for digital health apps frustrating, which lowers my trust in them.]",Future Intention and Adoption [I intend to continue using digital healthcare services in the future.],Future Intention and Adoption [I would recommend digital healthcare services to others.],Future Intention and Adoption [I plan to make digital healthcare my first option for minor health issues before visiting a physical clinic.],"Trust Barriers / Concerns [To show you are reading carefully, please select 'Agree' for this statement.]",Pricing [The pricing of digital healthcare services is clear and upfront.],Future Intention and Adoption [I am willing to use digital healthcare services more frequently if trust concerns are addressed.],Your overall experience with digital healthcare services can be rated as:
2026-01-22 00:02:56.676064,Yes,18-24,Metro city,Hindi,Online doctor consultations (video/chat),A few times a year,Tata 1mg,Disagree,Disagree,Strongly Disagree,Neutral,Disagree,Neutral,Agree,Neutral,Agree,Agree,Strongly Agree,Agree,Neutral,Strongly Disagree,Disagree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Strongly Disagree,Disagree,Disagree,Agree,Agree,Neutral,3
2026-01-22 00:24:01.048735,Yes,25-34,Rural / semi-urban,English,Online doctor consultations (video/chat),Weekly,Tata 1mg,Disagree,Agree,Agree,Neutral,Disagree,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Neutral,Agree,Disagree,Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Strongly Disagree,Disagree,Disagree,Neutral,Disagree,Neutral,Neutral,Disagree,Agree,Neutral,Neutral,Neutral,Agree,Disagree,Disagree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Neutral,3
2026-01-22 00:27:58.799876,Yes,35-44,Metro city,Hindi,Viewing lab results/medical records online,A few times a year,Tata 1mg,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Neutral,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Strongly Disagree,4
2026-01-22 00:32:55.193251,Yes,35-44,Metro city,English,Online doctor consultations (video/chat),Monthly,Tata 1mg,Neutral,Strongly Disagree,Disagree,Agree,Agree,Disagree,Neutral,Disagree,Strongly Disagree,Neutral,Disagree,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Neutral,Neutral,Strongly Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Strongly Agree,Agree,Disagree,Agree,Neutral,Agree,Neutral,Agree,Strongly Disagree,Disagree,1
2026-01-22 00:44:05.210410,Yes,18-24,Tier-2 / Tier-3 city,Hindi,Online doctor consultations (video/chat),A few times a year,Tata 1mg,Disagree,Disagree,Disagree,Neutral,Disagree,Agree,Neutral,Strongly Agree,Neutral,Agree,Agree,Neutral,Agree,Neutral,Disagree,Agree,Agree,Agree,Neutral,Strongly Disagree,Neutral,Neutral,Disagree,Disagree,Disagree,Neutral,Strongly Agree,Agree,Neutral,Disagree,Disagree,Neutral,Neutral,Agree,Agree,Disagree,Strongly Disagree,Disagree,Agree,Neutral,Agree,2
2026-01-22 00:45:24.905866,Yes,Under 18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-22 00:55:36.465401,Yes,25-34,Metro city,Hindi,"Mental health/counselling via telehealth, Scheduling appointments online, Digital health monitoring apps (e.g. BP, fitness)",Monthly,Apollo 24|7,Disagree,Agree,Neutral,Disagree,Agree,Agree,Neutral,Agree,Neutral,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Agree,Neutral,Strongly Disagree,Neutral,Neutral,Disagree,Strongly Disagree,Neutral,Agree,Neutral,Strongly Disagree,Disagree,Agree,Strongly Agree,Neutral,Neutral,Neutral,Agree,Neutral,Disagree,3
2026-01-22 01:32:59.675595,Yes,18-24,Rural / semi-urban,Other,"Scheduling appointments online, Online doctor consultations (video/chat), Mental health/counselling via telehealth",A few times a year,Apollo 24|7,Agree,Neutral,Agree,Neutral,Neutral,Agree,Disagree,Strongly Agree,Disagree,Disagree,Strongly Disagree,Agree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Strongly Agree,Neutral,Agree,Agree,Neutral,Disagree,Agree,Strongly Agree,Neutral,Disagree,Neutral,Agree,Agree,Disagree,3
2026-01-22 01:37:17.450107,Yes,18-24,Tier-2 / Tier-3 city,Hindi,"Online prescription refills/pharmacy services, Online doctor consultations (video/chat)",Weekly,Hospital's own app,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Disagree,Neutral,Agree,Agree,Neutral,Neutral,Neutral,Disagree,Disagree,Agree,Neutral,Strongly Agree,Agree,Agree,Disagree,5
2026-01-22 01:41:08.796318,Yes,25-34,Tier-2 / Tier-3 city,Hindi,"Mental health/counselling via telehealth, Viewing lab results/medical records online, Online prescription refills/pharmacy services",A few times a year,Apollo 24|7,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Agree,Strongly Disagree,Neutral,Neutral,Agree,Neutral,Neutral,Strongly Agree,Disagree,Agree,Strongly Agree,Agree,Agree,Disagree,Agree,Disagree,Agree,Neutral,Strongly Disagree,Strongly Disagree,Disagree,Neutral,Disagree,Agree,Neutral,Neutral,Neutral,Strongly Disagree,Neutral,Neutral,Agree,Strongly Disagree,Strongly Disagree,3
2026-01-22 02:02:05.272666,Yes,25-34,Rural / semi-urban,Hindi,"Online prescription refills/pharmacy services, Viewing lab results/medical records online, Online doctor consultations (video/chat), Scheduling appointments online",Monthly,Tata 1mg,Neutral,Neutral,Disagree,Strongly Agree,Agree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Neutral,Neutral,Neutral,Agree,Disagree,Disagree,Disagree,Neutral,Disagree,Strongly Agree,Agree,Neutral,Strongly Agree,Neutral,Neutral,Strongly Disagree,Disagree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Agree,Agree,Neutral,Disagree,Neutral,Agree,Disagree,Strongly Agree,1
2026-01-22 02:25:32.174301,Yes,25-34,Tier-2 / Tier-3 city,English,"Online prescription refills/pharmacy services, Online doctor consultations (video/chat)",Monthly,PharmEasy,Agree,Disagree,Neutral,Neutral,Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Agree,Neutral,Strongly Agree,Neutral,Neutral,Agree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Neutral,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Disagree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Neutral,4
2026-01-22 02:25:54.029626,Yes,18-24,Rural / semi-urban,Hindi,"Online doctor consultations (video/chat), Viewing lab results/medical records online",Monthly,Tata 1mg,Strongly Agree,Neutral,Agree,Strongly Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Neutral,Neutral,Disagree,Agree,Neutral,Disagree,Disagree,Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Strongly Agree,Agree,Agree,Disagree,4
2026-01-22 03:49:52.158873,Yes,18-24,Tier-2 / Tier-3 city,Marathi,"Online prescription refills/pharmacy services, Online doctor consultations (video/chat)",A few times a year,Practo,Agree,Agree,Agree,Agree,Disagree,Neutral,Strongly Agree,Agree,Neutral,Neutral,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Strongly Disagree,Disagree,Disagree,Neutral,Disagree,Strongly Agree,Neutral,Agree,Agree,Neutral,Agree,Agree,Neutral,Disagree,Disagree,Neutral,Agree,Neutral,Agree,Agree,Agree,Neutral,Agree,3
2026-01-22 03:56:27.353236,Yes,45-54,Tier-2 / Tier-3 city,English,"Scheduling appointments online, Online prescription refills/pharmacy services, Online doctor consultations (video/chat)",A few times a year,Tata 1mg,Disagree,Neutral,Neutral,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly Agree,Agree,Strongly Agree,Strongly Disagree,Neutral,Neutral,Neutral,Agree,Neutral,Disagree,Disagree,Neutral,Agree,Neutral,Agree,Agree,Neutral,Disagree,Agree,Disagree,Neutral,Strongly Disagree,Neutral,Agree,Neutral,Agree,Strongly Disagree,Disagree,Disagree,Agree,Agree,Disagree,2
2026-01-22 04:07:48.140897,Yes,25-34,Metro city,Marathi,"Online doctor consultations (video/chat), Viewing lab results/medical records online, Online prescription refills/pharmacy services",Daily/Almost Daily,Tata 1mg,Agree,Agree,Agree,Neutral,Agree,Neutral,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Agree,Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Agree,Neutral,,Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,5
2026-01-22 04:12:40.401477,Yes,45-54,Metro city,English,"Scheduling appointments online, Online prescription refills/pharmacy services",Monthly,Apollo 24|7,Agree,Agree,Agree,Strongly Agree,Agree,Neutral,Agree,Neutral,Strongly Agree,Neutral,Agree,Strongly Agree,Disagree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Neutral,Disagree,Neutral,Neutral,Strongly Agree,Agree,Neutral,Strongly Agree,Agree,Disagree,Neutral,Agree,Agree,Strongly Agree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Agree,Disagree,Agree,4
2026-01-22 04:24:19.287090,Yes,45-54,Metro city,Hindi,"Online prescription refills/pharmacy services, Online doctor consultations (video/chat)",A few times a year,eSanjeevani,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Neutral,Agree,Strongly Agree,Disagree,Disagree,Agree,Disagree,Strongly Disagree,Neutral,Disagree,Disagree,Strongly Agree,Agree,Agree,Neutral,Disagree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Agree,Disagree,4
2026-01-22 04:28:03.732652,Yes,18-24,Metro city,English,"Online prescription refills/pharmacy services, Scheduling appointments online, Mental health/counselling via telehealth",A few times a year,Practo,Disagree,Disagree,Strongly Disagree,Agree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Strongly Disagree,Disagree,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Neutral,Agree,Agree,Neutral,Neutral,Disagree,Disagree,Disagree,Neutral,Neutral,Neutral,Agree,Agree,Disagree,3
2026-01-22 04:35:26.364347,Yes,25-34,Metro city,English,"Online prescription refills/pharmacy services, Online doctor consultations (video/chat), Digital health monitoring apps (e.g. BP, fitness)",Monthly,PharmEasy,Agree,Agree,Neutral,Agree,Disagree,Neutral,Disagree,Neutral,Neutral,Agree,Agree,Strongly Agree,Agree,Agree,Neutral,Neutral,,Disagree,Strongly Disagree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Strongly Agree,Agree,Neutral,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Disagree,Agree,Neutral,Agree,4
2026-01-22 04:52:12.045561,Yes,25-34,Tier-2 / Tier-3 city,Marathi,"Online doctor consultations (video/chat), Viewing lab results/medical records online",Monthly,Practo,Agree,Strongly Agree,Disagree,Disagree,Neutral,Agree,Neutral,Disagree,Disagree,Neutral,Neutral,Agree,Agree,Strongly Agree,Agree,Disagree,Agree,Disagree,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Neutral,Disagree,Agree,Agree,Neutral,Strongly Disagree,Disagree,Neutral,Neutral,Neutral,Strongly Agree,Neutral,Disagree,Agree,Agree,Agree,Agree,Strongly Agree,Agree,2
2026-01-22 05:32:48.019936,Yes,18-24,Tier-2 / Tier-3 city,Marathi,"Viewing lab results/medical records online, Online doctor consultations (video/chat), Digital health monitoring apps (e.g. BP, fitness)",A few times a year,Practo,Disagree,,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Agree,Disagree,Neutral,Disagree,Neutral,Disagree,Disagree,Disagree,Neutral,Agree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Neutral,Agree,Agree,Agree,Disagree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,1
2026-01-22 05:33:18.483850,Yes,18-24,Metro city,English,"Online prescription refills/pharmacy services, Scheduling appointments online, Online doctor consultations (video/chat)",Monthly,eSanjeevani,Disagree,Neutral,Neutral,Agree,Disagree,Neutral,Disagree,Disagree,Neutral,Strongly Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Disagree,Neutral,Disagree,Neutral,Neutral,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Strongly Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Agree,Disagree,Neutral,Agree,Disagree,Agree,3
2026-01-22 05:35:42.946137,Yes,45-54,Metro city,Hindi,"Viewing lab results/medical records online, Digital health monitoring apps (e.g. BP, fitness), Online doctor consultations (video/chat), Scheduling appointments online",A few times a year,Apollo 24|7,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Disagree,Agree,Agree,Agree,Disagree,Neutral,Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Disagree,Neutral,Disagree,Strongly Agree,Agree,Agree,Agree,Agree,Strongly Disagree,Disagree,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,5
2026-01-22 05:47:09.193132,Yes,35-44,Tier-2 / Tier-3 city,English,"Online prescription refills/pharmacy services, Online doctor consultations (video/chat)",Monthly,Practo,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Strongly Agree,Agree,Disagree,Disagree,Neutral,Agree,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Strongly Agree,Strongly Agree,Disagree,Neutral,Neutral,Strongly Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Disagree,4
2026-01-22 06:00:54.622523,Yes,18-24,Metro city,English,"Digital health monitoring apps (e.g. BP, fitness), Online doctor consultations (video/chat), Online prescription refills/pharmacy services",Daily/Almost Daily,Apollo 24|7,Neutral,Neutral,Agree,Disagree,Strongly Disagree,Disagree,Neutral,Neutral,Neutral,Agree,Disagree,Neutral,Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Disagree,Neutral,Neutral,Strongly Agree,Agree,Strongly Agree,Agree,Disagree,Disagree,Agree,Agree,Neutral,Neutral,Agree,Strongly Agree,Agree,2
2026-01-22 07:13:13.954674,Yes,35-44,Tier-2 / Tier-3 city,English,"Scheduling appointments online, Viewing lab results/medical records online",Weekly,Practo,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Agree,Strongly Agree,Neutral,Agree,Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Agree,Disagree,Disagree,Strongly Disagree,Neutral,Neutral,Agree,Agree,Agree,Neutral,Strongly Agree,Neutral,Agree,Agree,Disagree,Neutral,4
2026-01-22 07:21:51.824778,Yes,25-34,Metro city,Marathi,"Online prescription refills/pharmacy services, Viewing lab results/medical records online, Online doctor consultations (video/chat)",Monthly,Apollo 24|7,Agree,Agree,Neutral,Strongly Agree,Agree,Agree,Neutral,Neutral,Agree,Neutral,Agree,Agree,Strongly Agree,Neutral,Strongly Agree,Agree,Agree,Agree,Strongly Agree,Agree,Neutral,Neutral,Agree,Disagree,Agree,Disagree,Neutral,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,Agree,Neutral,Agree,3
2026-01-22 08:05:07.724124,Yes,35-44,Tier-2 / Tier-3 city,Marathi,Online prescription refills/pharmacy services,Monthly,Tata 1mg,Agree,Agree,Agree,Neutral,Agree,Neutral,Neutral,Disagree,Agree,Neutral,Agree,Neutral,Neutral,Strongly Agree,Agree,Neutral,Agree,Neutral,Strongly Disagree,Strongly Disagree,Neutral,Disagree,Neutral,Strongly Agree,Agree,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Agree,Agree,Disagree,Neutral,Disagree,Disagree,Disagree,Agree,Neutral,Disagree,4
2026-01-22 08:18:27.744566,Yes,18-24,Metro city,English,"Online prescription refills/pharmacy services, Viewing lab results/medical records online",A few times a year,Tata 1mg,Disagree,Disagree,Strongly Disagree,Neutral,Neutral,Agree,Disagree,Disagree,Disagree,Agree,Neutral,Strongly Agree,Disagree,Disagree,Disagree,Neutral,Disagree,Neutral,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Agree,Neutral,Disagree,Neutral,Agree,Agree,Strongly Agree,Neutral,Neutral,Agree,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,4
2026-01-22 09:01:30.745088,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-22 09:44:13.237939,Yes,45-54,Metro city,English,Online doctor consultations (video/chat),A few times a year,PharmEasy,Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Agree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Neutral,Neutral,Strongly Agree,Strongly Agree,Agree,Neutral,Neutral,Neutral,Strongly Disagree,Neutral,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Disagree,Agree,Neutral,Disagree,4
2026-01-22 09:57:11.944984,Yes,35-44,Tier-2 / Tier-3 city,Hindi,"Digital health monitoring apps (e.g. BP, fitness)",A few times a year,Tata 1mg,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Neutral,Neutral,Agree,Neutral,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Agree,Agree,Neutral,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Neutral,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Agree,4
2026-01-22 10:06:20.600655,Yes,18-24,Rural / semi-urban,English,"Online doctor consultations (video/chat), Online prescription refills/pharmacy services",A few times a year,Practo,Disagree,Disagree,Strongly Disagree,Agree,Neutral,Agree,Neutral,Neutral,Neutral,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Neutral,Agree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Agree,Agree,Neutral,Strongly Disagree,Strongly Disagree,Neutral,Neutral,Agree,Agree,Strongly Agree,Agree,Agree,Strongly Disagree,Agree,Neutral,Agree,Agree,Strongly Agree,2
2026-01-22 10:11:19.548064,Yes,45-54,Metro city,English,None of the above,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-01-22 10:53:20.295004,Yes,25-34,Metro city,Marathi,"Mental health/counselling via telehealth, Scheduling appointments online, Online doctor consultations (video/chat)",Weekly,Practo,Neutral,Neutral,Neutral,Strongly Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Strongly Agree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Agree,Disagree,Agree,Disagree,Neutral,Agree,Agree,Agree,Neutral,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Neutral,Neutral,Neutral,Agree,Disagree,Agree,Agree,Neutral,3
2026-01-22 11:21:06.876066,Yes,25-34,Metro city,Hindi,"Online doctor consultations (video/chat), Online prescription refills/pharmacy services",Daily/Almost Daily,PharmEasy,Neutral,Neutral,Neutral,Disagree,Disagree,Neutral,Agree,Agree,Agree,Disagree,Neutral,Disagree,Neutral,Disagree,Agree,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Agree,Neutral,Strongly Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Strongly Agree,Agree,Neutral,Neutral,Agree,Disagree,Neutral,Neutral,Agree,Agree,Neutral,3
2026-01-22 11:55:35.520243,Yes,35-44,Tier-2 / Tier-3 city,Hindi,"Viewing lab results/medical records online, Online doctor consultations (video/chat), Scheduling appointments online",A few times a year,Hospital's own app,Agree,Agree,Agree,Agree,Neutral,Strongly Disagree,Neutral,Agree,Agree,Agree,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Strongly Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Strongly Agree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Neutral,4
2026-01-22 13:20:19.592181,Yes,25-34,Metro city,English,"Digital health monitoring apps (e.g. BP, fitness), Scheduling appointments online, Online doctor consultations (video/chat), Mental health/counselling via telehealth",Weekly,Apollo 24|7,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Strongly Disagree,Disagree,Neutral,Disagree,Neutral,Neutral,Neutral,Neutral,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Agree,Strongly Disagree,Neutral,Neutral,Agree,Disagree,Strongly Disagree,Strongly Disagree,Agree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Agree,Disagree,Strongly Disagree,Disagree,Agree,Neutral,Strongly Disagree,1
2026-01-22 13:26:32.125671,Yes,35-44,Rural / semi-urban,Other,"Mental health/counselling via telehealth, Online prescription refills/pharmacy services, Digital health monitoring apps (e.g. BP, fitness), Online doctor consultations (video/chat)",Weekly,Practo,Neutral,Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Strongly Disagree,Disagree,Disagree,Agree,Neutral,Neutral,Agree,Strongly Agree,Strongly Agree,Neutral,Disagree,Disagree,Neutral,Neutral,Neutral,Neutral,Disagree,Strongly Agree,Agree,Agree,Disagree,Agree,Neutral,Strongly Agree,Disagree,Agree,Neutral,Disagree,Disagree,Agree,Disagree,Strongly Agree,4
2026-01-22 13:45:10.624509,Yes,25-34,Metro city,Hindi,"Online doctor consultations (video/chat), Viewing lab results/medical records online, Online prescription refills/pharmacy services",Monthly,PharmEasy,Neutral,Strongly Agree,Neutral,Disagree,Neutral,Disagree,Agree,Disagree,Disagree,Neutral,Agree,Neutral,Agree,Agree,Agree,Agree,Agree,Agree,Disagree,Agree,Neutral,Agree,Agree,Agree,Agree,Neutral,Neutral,Neutral,Neutral,Disagree,Agree,Agree,Agree,Neutral,Neutral,Strongly Agree,Agree,Strongly Agree,Agree,Strongly Disagree,Agree,3
2026-01-22 14:43:34.787816,Yes,55-64,Metro city,English,"Online prescription refills/pharmacy services, Online doctor consultations (video/chat)",A few times a year,PharmEasy,Neutral,Agree,Agree,Agree,Agree,Neutral,Agree,Agree,Agree,Neutral,Disagree,Neutral,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Agree,Neutral,Strongly Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Neutral,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Neutral,Neutral,Neutral,Neutral,Neutral,Agree,Agree,Neutral,Disagree,3
